"Timestamp","Who is your oshi(s)?","Gender","Age","Time zone","Are you native/fluent in English?"
"2023/05/21 12:52:12 AM MDT","Vox Akuma;Uki Violeta;Fulgur Ovid","","","UTC -5","Yes"
"2023/05/21 12:55:26 AM MDT","Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma","","20","UTC +8","Yes"
"2023/05/21 12:57:57 AM MDT","Elira Pendora;Selen Tatsuki;Millie Parfait;Luca Kaneshiro;Ike Eveland;Sonny Brisko;Scarle Yonaguni;Meloco Kyoran","","","UTC +14/-10","Yes"
"2023/05/21 12:58:43 AM MDT","Uki Violeta;Fulgur Ovid","","23","UTC -7","Yes"
"2023/05/21 1:00:21 AM MDT","Fulgur Ovid","","34","UTC +7","No"
"2023/05/21 1:01:19 AM MDT","Fulgur Ovid","","36","UTC +7","Yes"
"2023/05/21 1:07:59 AM MDT","Vox Akuma;Fulgur Ovid;Hex Haywire","","18","UTC +3","Yes"
"2023/05/21 1:09:49 AM MDT","Selen Tatsuki;Millie Parfait;Enna Alouette;Reimu Endou;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe","","25","UTC -3","No"
"2023/05/21 1:10:25 AM MDT","Elira Pendora;Doppio Dropscythe","","24","UTC +8","Yes"
"2023/05/21 1:14:09 AM MDT","Pomu Rainpuff;Elira Pendora;Millie Parfait;Enna Alouette;Shu Yamino;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Aster Arcadia;Doppio Dropscythe;Ver Vermillion","","22","UTC +0","Yes"
"2023/05/21 1:15:21 AM MDT","Pomu Rainpuff;Selen Tatsuki;Enna Alouette;Ike Eveland;Mysta Rias;Doppio Dropscythe;Kotoka Torahime","","26","UTC +1","Yes"
"2023/05/21 1:15:48 AM MDT","Kyo Kaneko;Doppio Dropscythe;Kotoka Torahime;Ver Vermillion","","29","UTC -8","Yes"
"2023/05/21 1:16:39 AM MDT","Shu Yamino;Vox Akuma;Uki Violeta;Fulgur Ovid","","","UTC +9","Yes"
"2023/05/21 1:28:31 AM MDT","Millie Parfait;Enna Alouette;Vox Akuma;Sonny Brisko;Uki Violeta;Fulgur Ovid;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe","","23","UTC +7","Yes"
"2023/05/21 1:30:00 AM MDT","Ike Eveland;Sonny Brisko;Alban Knox;Ren Zotto;Doppio Dropscythe;Ver Vermillion","","27","UTC +8","No"
"2023/05/21 1:30:45 AM MDT","Vox Akuma","","23","UTC +1","Yes"
"2023/05/21 1:34:17 AM MDT","Pomu Rainpuff;Elira Pendora;Finana Ryugu;Rosemi Lovelock;Petra Gurin;Selen Tatsuki;Nina Kosaka;Millie Parfait;Enna Alouette;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Maria Marionette;Kyo Kaneko;Aia Amare;Aster Arcadia;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe;Meloco Kyoran;Hex Haywire;Kotoka Torahime;Ver Vermillion","","27","UTC +1","Yes"
"2023/05/21 1:36:09 AM MDT","Mysta Rias;Ver Vermillion","","24","UTC +8","No"
"2023/05/21 1:42:07 AM MDT","Rosemi Lovelock;Vox Akuma","","25","UTC -8","Yes"
"2023/05/21 1:50:51 AM MDT","Fulgur Ovid","","36","UTC +2","No"
"2023/05/21 2:03:43 AM MDT","Pomu Rainpuff;Elira Pendora;Petra Gurin;Millie Parfait;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Maria Marionette;Kyo Kaneko;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe","","18","UTC -4","Yes"
"2023/05/21 2:48:28 AM MDT","Pomu Rainpuff;Selen Tatsuki;Ike Eveland;Kyo Kaneko;Doppio Dropscythe","","21","UTC -8","Yes"
"2023/05/21 2:55:25 AM MDT","Vox Akuma","","","UTC +8","No"
"2023/05/21 3:06:59 AM MDT","Pomu Rainpuff;Mysta Rias;Vox Akuma;Sonny Brisko","","20","","Yes"
"2023/05/21 3:16:48 AM MDT","Vox Akuma;Fulgur Ovid","","24","UTC -4","Yes"
"2023/05/21 3:34:51 AM MDT","Uki Violeta;Fulgur Ovid","","21","UTC +2","Yes"
"2023/05/21 3:55:30 AM MDT","Ike Eveland;Vox Akuma;Fulgur Ovid;Doppio Dropscythe;Hex Haywire;Ver Vermillion","","24","UTC +2","Yes"
"2023/05/21 3:56:06 AM MDT","Shu Yamino;Doppio Dropscythe","","23","UTC +8","No"
"2023/05/21 4:20:43 AM MDT","Doppio Dropscythe","","17","UTC -3","Yes"
"2023/05/21 4:42:25 AM MDT","Finana Ryugu;Selen Tatsuki;Millie Parfait;Enna Alouette;Sonny Brisko;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe","","21","UTC +8","Yes"
"2023/05/21 5:08:19 AM MDT","Mysta Rias;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Aster Arcadia;Doppio Dropscythe","","","UTC +8","No"
"2023/05/21 5:08:24 AM MDT","Selen Tatsuki;Enna Alouette;Ike Eveland;Sonny Brisko;Ver Vermillion","","28","UTC +8","Yes"
"2023/05/21 5:10:19 AM MDT","Luca Kaneshiro;Doppio Dropscythe","","22","UTC -5","Yes"
"2023/05/21 5:14:56 AM MDT","Ver Vermillion","","27","UTC +8","No"
"2023/05/21 5:22:39 AM MDT","Millie Parfait;Shu Yamino;Ike Eveland;Uki Violeta;Fulgur Ovid;Aia Amare","","27","UTC +8","Yes"
"2023/05/21 5:27:53 AM MDT","Vox Akuma;Ren Zotto;Doppio Dropscythe","","20","UTC +8","Yes"
"2023/05/21 5:29:28 AM MDT","Uki Violeta","","","UTC -5","No"
"2023/05/21 5:36:53 AM MDT","Millie Parfait;Sonny Brisko","","28","UTC +8","No"
"2023/05/21 5:36:54 AM MDT","Shu Yamino","","27","UTC +5","No"
"2023/05/21 5:43:24 AM MDT","Millie Parfait;Luca Kaneshiro;Shu Yamino;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe","","23","UTC +8","Yes"
"2023/05/21 5:49:07 AM MDT","Pomu Rainpuff;Selen Tatsuki;Vox Akuma;Sonny Brisko;Fulgur Ovid;Ren Zotto;Doppio Dropscythe","","22","UTC -5","Yes"
"2023/05/21 5:49:12 AM MDT","Ike Eveland;Mysta Rias;Kotoka Torahime","","17","UTC +9","Yes"
"2023/05/21 5:49:50 AM MDT","Ike Eveland;Vox Akuma;Fulgur Ovid;Doppio Dropscythe","","23","UTC -5","Yes"
"2023/05/21 5:52:38 AM MDT","Pomu Rainpuff;Millie Parfait;Luca Kaneshiro;Shu Yamino","","","UTC -4","Yes"
"2023/05/21 5:53:48 AM MDT","Ike Eveland;Vox Akuma","","29","UTC +3","Yes"
"2023/05/21 5:54:26 AM MDT","Ike Eveland;Vox Akuma;Fulgur Ovid","","22","UTC +1","Yes"
"2023/05/21 6:01:06 AM MDT","Luca Kaneshiro;Vox Akuma;Kyo Kaneko","","19","UTC +2","Yes"
"2023/05/21 6:02:16 AM MDT","Pomu Rainpuff;Rosemi Lovelock;Fulgur Ovid;Doppio Dropscythe","","","UTC -5","Yes"
"2023/05/21 6:07:02 AM MDT","Elira Pendora;Millie Parfait;Enna Alouette;Shu Yamino;Mysta Rias;Doppio Dropscythe","","","UTC +2","Yes"
"2023/05/21 6:19:17 AM MDT","Maria Marionette;Doppio Dropscythe;Ver Vermillion","","","UTC +0","Yes"
"2023/05/21 6:20:46 AM MDT","Shu Yamino;Mysta Rias;Vox Akuma;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Ren Zotto;Doppio Dropscythe;Hex Haywire;Ver Vermillion","","31","UTC -4","Yes"
"2023/05/21 6:32:59 AM MDT","Pomu Rainpuff;Selen Tatsuki;Millie Parfait;Enna Alouette;Mysta Rias;Vox Akuma;Fulgur Ovid;Doppio Dropscythe","","24","UTC -8","Yes"
"2023/05/21 6:37:02 AM MDT","Enna Alouette;Kotoka Torahime","","21","UTC +8","No"
"2023/05/21 6:41:08 AM MDT","Selen Tatsuki;Ike Eveland;Uki Violeta;Aia Amare;Doppio Dropscythe","","16","UTC +8","Yes"
"2023/05/21 6:41:48 AM MDT","Selen Tatsuki;Vox Akuma;Fulgur Ovid;Doppio Dropscythe","","18","UTC +4","Yes"
"2023/05/21 6:43:52 AM MDT","Shu Yamino;Uki Violeta;Aster Arcadia;Doppio Dropscythe","","25","UTC -5","Yes"
"2023/05/21 6:44:10 AM MDT","Luca Kaneshiro;Shu Yamino;Mysta Rias;Fulgur Ovid;Doppio Dropscythe;Ver Vermillion","","30","UTC +7","Yes"
"2023/05/21 6:50:25 AM MDT","Millie Parfait;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Aia Amare;Doppio Dropscythe","","","UTC +13/-11","Yes"
"2023/05/21 7:00:35 AM MDT","Vox Akuma;Fulgur Ovid;Doppio Dropscythe;Hex Haywire","","18","UTC +2","Yes"
"2023/05/21 7:01:50 AM MDT","Reimu Endou;Shu Yamino;Doppio Dropscythe;Hex Haywire;Kotoka Torahime","","21","UTC +2","Yes"
"2023/05/21 7:04:46 AM MDT","Vox Akuma;Uki Violeta;Doppio Dropscythe","","22","UTC +2","Yes"
"2023/05/21 7:06:11 AM MDT","Shu Yamino;Vox Akuma;Uki Violeta;Fulgur Ovid;Ren Zotto;Doppio Dropscythe","","23","UTC -4","Yes"
"2023/05/21 7:13:16 AM MDT","Mysta Rias;Doppio Dropscythe","","27","UTC +8","No"
"2023/05/21 7:39:13 AM MDT","Vox Akuma","","40","UTC -5","Yes"
"2023/05/21 7:41:01 AM MDT","Enna Alouette;Uki Violeta;Alban Knox;Doppio Dropscythe;Ver Vermillion","","18","UTC +2","Yes"
"2023/05/21 7:41:23 AM MDT","Vox Akuma;Aia Amare","","25","UTC +7","Yes"
"2023/05/21 7:44:25 AM MDT","Pomu Rainpuff;Selen Tatsuki;Reimu Endou;Ike Eveland;Vox Akuma;Alban Knox;Ren Zotto","","18","UTC -3","Yes"
"2023/05/21 7:51:19 AM MDT","Vox Akuma;Aster Arcadia;Doppio Dropscythe","","23","UTC +3","Yes"
"2023/05/21 7:57:44 AM MDT","Doppio Dropscythe","","30","UTC +8","No"
"2023/05/21 8:03:50 AM MDT","Elira Pendora;Rosemi Lovelock;Enna Alouette;Shu Yamino;Doppio Dropscythe;Meloco Kyoran","","16","UTC +8","Yes"
"2023/05/21 8:08:28 AM MDT","Fulgur Ovid;Doppio Dropscythe","","25","UTC +8","No"
"2023/05/21 8:08:56 AM MDT","Pomu Rainpuff;Selen Tatsuki;Millie Parfait;Enna Alouette;Reimu Endou;Shu Yamino;Ike Eveland;Uki Violeta;Alban Knox;Fulgur Ovid;Doppio Dropscythe","","20","UTC +1","Yes"
"2023/05/21 8:11:09 AM MDT","Fulgur Ovid","","33","UTC +1","Yes"
"2023/05/21 8:14:25 AM MDT","Aster Arcadia","","18","UTC +7","No"
"2023/05/21 8:16:14 AM MDT","Enna Alouette;Luca Kaneshiro;Shu Yamino;Ike Eveland;Fulgur Ovid","","22","UTC -8","Yes"
"2023/05/21 8:17:09 AM MDT","Aster Arcadia","","","UTC -5","Yes"
"2023/05/21 8:19:20 AM MDT","Selen Tatsuki;Sonny Brisko;Fulgur Ovid","","24","UTC +8","Yes"
"2023/05/21 8:24:06 AM MDT","Millie Parfait;Luca Kaneshiro;Ike Eveland;Mysta Rias;Fulgur Ovid;Kyo Kaneko;Scarle Yonaguni;Doppio Dropscythe","","16","UTC +2","Yes"
"2023/05/21 8:25:05 AM MDT","Ike Eveland;Mysta Rias;Uki Violeta;Doppio Dropscythe","","26","UTC +2","No"
"2023/05/21 8:30:05 AM MDT","Elira Pendora;Mysta Rias;Doppio Dropscythe","","18","","Yes"
"2023/05/21 8:32:14 AM MDT","Vox Akuma","","24","UTC +12","Yes"
"2023/05/21 8:37:48 AM MDT","Ike Eveland;Vox Akuma;Uki Violeta;Fulgur Ovid;Kyo Kaneko","","19","UTC +1","Yes"
"2023/05/21 8:44:46 AM MDT","Reimu Endou;Mysta Rias;Uki Violeta","","19","UTC -5","Yes"
"2023/05/21 8:45:03 AM MDT","Selen Tatsuki;Reimu Endou;Luca Kaneshiro;Shu Yamino;Sonny Brisko;Doppio Dropscythe","","","UTC -5","Yes"
"2023/05/21 8:48:30 AM MDT","Pomu Rainpuff;Elira Pendora;Finana Ryugu;Rosemi Lovelock;Selen Tatsuki;Enna Alouette;Luca Kaneshiro;Shu Yamino;Ike Eveland;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Ren Zotto;Doppio Dropscythe","","18","UTC -4","Yes"
"2023/05/21 8:53:51 AM MDT","Ike Eveland;Vox Akuma;Uki Violeta;Fulgur Ovid;Aster Arcadia;Hex Haywire","","19","UTC +5","Yes"
"2023/05/21 8:53:53 AM MDT","Millie Parfait;Enna Alouette;Mysta Rias;Uki Violeta;Fulgur Ovid;Doppio Dropscythe","","33","UTC -3","No"
"2023/05/21 9:01:10 AM MDT","Reimu Endou;Luca Kaneshiro","","26","UTC -6","No"
"2023/05/21 9:01:32 AM MDT","Vox Akuma;Hex Haywire","","30","UTC +8","Yes"
"2023/05/21 9:02:07 AM MDT","Selen Tatsuki;Luca Kaneshiro;Shu Yamino;Ike Eveland;Sonny Brisko;Ren Zotto;Doppio Dropscythe;Hex Haywire","","26","UTC -5","Yes"
"2023/05/21 9:02:18 AM MDT","Vox Akuma;Doppio Dropscythe","","20","UTC +7","Yes"
"2023/05/21 9:09:35 AM MDT","Mysta Rias;Uki Violeta;Fulgur Ovid;Ren Zotto;Doppio Dropscythe;Ver Vermillion","","24","UTC +2","No"
"2023/05/21 9:10:49 AM MDT","Elira Pendora;Selen Tatsuki;Millie Parfait;Enna Alouette;Shu Yamino;Ike Eveland;Doppio Dropscythe","","17","UTC +12","Yes"
"2023/05/21 9:12:34 AM MDT","Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid","","26","UTC -5","Yes"
"2023/05/21 9:13:58 AM MDT","Millie Parfait;Enna Alouette;Sonny Brisko;Alban Knox;Doppio Dropscythe","","30","UTC +8","Yes"
"2023/05/21 9:15:24 AM MDT","Millie Parfait;Reimu Endou;Luca Kaneshiro;Shu Yamino;Vox Akuma;Uki Violeta;Alban Knox;Scarle Yonaguni;Doppio Dropscythe;Meloco Kyoran;Hex Haywire;Kotoka Torahime;Ver Vermillion","","22","UTC +8","Yes"
"2023/05/21 9:20:15 AM MDT","Petra Gurin;Nina Kosaka;Reimu Endou;Luca Kaneshiro;Vox Akuma;Aster Arcadia;Ren Zotto;Doppio Dropscythe;Hex Haywire","","16","UTC +6","Yes"
"2023/05/21 9:22:35 AM MDT","Luca Kaneshiro;Shu Yamino","","19","UTC +10","Yes"
"2023/05/21 9:26:01 AM MDT","Pomu Rainpuff;Millie Parfait;Luca Kaneshiro","","22","UTC +8","Yes"
"2023/05/21 9:27:16 AM MDT","Fulgur Ovid","","19","UTC -6","Yes"
"2023/05/21 9:30:17 AM MDT","Ike Eveland;Vox Akuma;Kyo Kaneko","","16","UTC +0","Yes"
"2023/05/21 9:34:07 AM MDT","Pomu Rainpuff;Elira Pendora;Millie Parfait;Luca Kaneshiro;Mysta Rias;Vox Akuma;Uki Violeta;Fulgur Ovid;Maria Marionette;Aia Amare;Doppio Dropscythe","","21","UTC -5","Yes"
"2023/05/21 9:37:53 AM MDT","Ike Eveland;Alban Knox;Kyo Kaneko;Aster Arcadia;Ren Zotto;Ver Vermillion","","18","UTC -4","Yes"
"2023/05/21 9:38:04 AM MDT","Mysta Rias;Fulgur Ovid;Doppio Dropscythe","","17","UTC +2","Yes"
"2023/05/21 9:53:34 AM MDT","Pomu Rainpuff;Finana Ryugu;Enna Alouette;Luca Kaneshiro;Kyo Kaneko;Doppio Dropscythe;Ver Vermillion","","17","UTC -7","Yes"
"2023/05/21 9:54:43 AM MDT","Enna Alouette;Luca Kaneshiro;Doppio Dropscythe","","17","UTC -4","Yes"
"2023/05/21 9:55:11 AM MDT","Mysta Rias;Aster Arcadia;Ver Vermillion","","15","UTC -4","Yes"
"2023/05/21 9:57:53 AM MDT","Nina Kosaka;Enna Alouette;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe;Hex Haywire","","15","UTC -7","Yes"
"2023/05/21 10:02:22 AM MDT","Pomu Rainpuff;Elira Pendora;Petra Gurin;Selen Tatsuki;Shu Yamino;Sonny Brisko","","16","UTC +0","Yes"
"2023/05/21 10:03:33 AM MDT","Pomu Rainpuff;Elira Pendora;Finana Ryugu;Rosemi Lovelock;Petra Gurin;Selen Tatsuki;Nina Kosaka;Millie Parfait;Enna Alouette;Reimu Endou;Shu Yamino;Uki Violeta;Doppio Dropscythe","","20","UTC -5","Yes"
"2023/05/21 10:10:22 AM MDT","Millie Parfait;Enna Alouette;Uki Violeta;Fulgur Ovid","","","UTC +7","Yes"
"2023/05/21 10:12:48 AM MDT","Enna Alouette;Luca Kaneshiro;Shu Yamino;Sonny Brisko;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Ren Zotto;Doppio Dropscythe","","27","UTC -7","Yes"
"2023/05/21 10:14:57 AM MDT","Pomu Rainpuff;Millie Parfait;Luca Kaneshiro;Sonny Brisko;Uki Violeta;Ren Zotto;Ver Vermillion","","20","UTC +7","No"
"2023/05/21 10:17:11 AM MDT","Millie Parfait;Enna Alouette;Uki Violeta;Aia Amare;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe;Kotoka Torahime","","26","UTC +8","Yes"
"2023/05/21 10:18:46 AM MDT","Pomu Rainpuff;Elira Pendora;Finana Ryugu;Rosemi Lovelock;Petra Gurin;Selen Tatsuki;Nina Kosaka;Millie Parfait;Enna Alouette;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Maria Marionette;Aia Amare;Aster Arcadia;Ren Zotto;Doppio Dropscythe;Meloco Kyoran;Kotoka Torahime;Ver Vermillion","","25","UTC +8","Yes"
"2023/05/21 10:25:40 AM MDT","Ren Zotto","","25","UTC -4","Yes"
"2023/05/21 10:26:49 AM MDT","Shu Yamino;Ike Eveland;Sonny Brisko;Uki Violeta;Alban Knox;Maria Marionette;Kyo Kaneko;Aster Arcadia;Scarle Yonaguni;Doppio Dropscythe;Ver Vermillion","","20","UTC +8","Yes"
"2023/05/21 10:30:18 AM MDT","Pomu Rainpuff;Doppio Dropscythe","","21","UTC +5","Yes"
"2023/05/21 10:31:10 AM MDT","Millie Parfait;Enna Alouette;Shu Yamino;Mysta Rias;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid","","23","UTC +8","Yes"
"2023/05/21 10:38:43 AM MDT","Alban Knox","","24","UTC -4","Yes"
"2023/05/21 10:39:23 AM MDT","Reimu Endou;Luca Kaneshiro;Shu Yamino;Mysta Rias;Ren Zotto;Doppio Dropscythe","","22","UTC +2","Yes"
"2023/05/21 10:39:56 AM MDT","Luca Kaneshiro;Mysta Rias","","30","UTC -5","Yes"
"2023/05/21 10:40:30 AM MDT","Luca Kaneshiro;Mysta Rias;Hex Haywire","","22","UTC -4","Yes"
"2023/05/21 10:40:52 AM MDT","Enna Alouette;Ike Eveland;Mysta Rias;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Aster Arcadia","","22","UTC +2","Yes"
"2023/05/21 10:42:11 AM MDT","Selen Tatsuki;Enna Alouette;Vox Akuma;Fulgur Ovid;Doppio Dropscythe","","20","UTC +12","Yes"
"2023/05/21 10:45:43 AM MDT","Elira Pendora;Rosemi Lovelock;Millie Parfait;Reimu Endou;Ike Eveland;Vox Akuma;Alban Knox;Kotoka Torahime;Ver Vermillion","","17","UTC -4","Yes"
"2023/05/21 10:45:52 AM MDT","Kyo Kaneko;Scarle Yonaguni;Doppio Dropscythe","","17","UTC -7","Yes"
"2023/05/21 10:51:11 AM MDT","Kyo Kaneko;Aia Amare;Doppio Dropscythe;Ver Vermillion","","17","","Yes"
"2023/05/21 10:55:48 AM MDT","Elira Pendora;Millie Parfait;Enna Alouette;Shu Yamino;Mysta Rias;Alban Knox;Fulgur Ovid","","24","UTC -5","Yes"
"2023/05/21 11:04:02 AM MDT","Elira Pendora;Luca Kaneshiro;Shu Yamino;Ike Eveland;Sonny Brisko","","17","UTC -7","Yes"
"2023/05/21 11:06:53 AM MDT","Luca Kaneshiro;Shu Yamino;Mysta Rias","","17","UTC -7","Yes"
"2023/05/21 11:19:12 AM MDT","Enna Alouette;Luca Kaneshiro;Mysta Rias;Vox Akuma;Uki Violeta;Fulgur Ovid;Ren Zotto;Doppio Dropscythe","","19","UTC +8","Yes"
"2023/05/21 11:20:51 AM MDT","Mysta Rias;Vox Akuma","","20","UTC +2","Yes"
"2023/05/21 11:21:14 AM MDT","Pomu Rainpuff;Shu Yamino;Vox Akuma;Alban Knox;Aster Arcadia;Doppio Dropscythe;Ver Vermillion","","19","UTC +8","No"
"2023/05/21 11:21:39 AM MDT","Pomu Rainpuff;Doppio Dropscythe","","20","UTC +13/-11","Yes"
"2023/05/21 11:25:24 AM MDT","Vox Akuma;Fulgur Ovid","","20","UTC +8","Yes"
"2023/05/21 11:26:07 AM MDT","Mysta Rias;Vox Akuma;Uki Violeta","","18","UTC +0","Yes"
"2023/05/21 11:28:17 AM MDT","Elira Pendora;Vox Akuma;Fulgur Ovid","","23","UTC -6","Yes"
"2023/05/21 11:30:12 AM MDT","Pomu Rainpuff;Elira Pendora;Enna Alouette;Luca Kaneshiro;Shu Yamino;Sonny Brisko","","29","UTC +9","Yes"
"2023/05/21 11:31:11 AM MDT","Vox Akuma","","21","UTC +8","Yes"
"2023/05/21 11:36:34 AM MDT","Luca Kaneshiro;Sonny Brisko;Alban Knox;Doppio Dropscythe;Kotoka Torahime","","21","UTC -7","Yes"
"2023/05/21 11:43:16 AM MDT","Vox Akuma","","25","UTC -8","Yes"
"2023/05/21 11:46:57 AM MDT","Selen Tatsuki;Luca Kaneshiro;Ike Eveland;Vox Akuma;Sonny Brisko","","20","UTC -6","Yes"
"2023/05/21 11:51:40 AM MDT","Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Aia Amare;Doppio Dropscythe;Ver Vermillion","","19","UTC -5","Yes"
"2023/05/21 11:54:52 AM MDT","Mysta Rias","","22","UTC +10","Yes"
"2023/05/21 12:00:20 PM MDT","Elira Pendora;Selen Tatsuki;Enna Alouette;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Fulgur Ovid;Maria Marionette;Doppio Dropscythe","","20","UTC +2","Yes"
